Question,Answers,Comment,Instructions,Render as
"A：この服どう？デザインがカッコよくない？
B：うーん、なんか（）してるし、私はあまり好きじゃないなぁ
A：この ふくどう？ デザインが カッコよくない",ごちゃごちゃ,,漢字の読みを入力してください,Text
宇宙飛行士になるという夢に向かって、一生懸命頑張っている彼を馬鹿にする人もいるが、僕にはとても（）輝いて見えた。,きらきら,,漢字の読みを入力してください,Text
"A：これ、プレゼント。前から欲しがってた指輪。サイズが合うか心配だけど・・・
B：わー。嬉しい。サイズも（）よ。",ぴったり,,漢字の読みを入力してください,Text
彼は父に借りたパソコンを壊してしまったようで、「後で、めちゃくちゃ怒られる」と言いながら（）していた。,びくびく,,漢字の読みを入力してください,Text
先輩に告白しようと、呼び出したものの（）してしまい、結局自分の気持ちを伝えることができなかった。,もじもじ,,漢字の読みを入力してください,Text
海外留学中、ろくに運動もせず、カロリーが高いものを食べてばかりいたので、（）太ってしまった。,ぶくぶく,,漢字の読みを入力してください,Text
陶芸体験でカップを作ってみたが、プロのように綺麗に作れず、（）したカップが出来上がった。,でこぼこ,,漢字の読みを入力してください,Text
子供の頃、コーラを飲む時、ストローから息を吹きかけて、（）と泡を立てる遊びしたことある？,ぶくぶく,,漢字の読みを入力してください,Text
"A：あの子、あそこで（）してるけど溺れているんじゃない？
B：本当だ！助けに行ってくる。",ばしゃばしゃ,,漢字の読みを入力してください,Text
日本人はラーメンを（）と音を立てて食べるが、一部の国の人には、その音が不快なようだ。,ずるずる,,漢字の読みを入力してください,Text
田中さんはこの前の合コンで出会った男性に（）で、毎日のように連絡をとっているそうだ。,めろめろ,,漢字の読みを入力してください,Text
昨日見た試合は、最後までどっちのチームが勝つのか予測不可能で、とても（）しました。,はらはら,,漢字の読みを入力してください,Text
歳をとって、（）になるのが嫌なので、できるだけ普段から体を鍛えるようにしています。,よぼよぼ,,漢字の読みを入力してください,Text
フィリピンやマレーシアといった東南アジアの国々で、高層ビルが（）建ち始めている。,にょきにょき,,漢字の読みを入力してください,Text
どこかでカシャッ（）という音が聞こえてくるし、誰かに写真を撮られている気がする。,カシャッ,,漢字の読みを入力してください,Text
落ちこぼれだった彼が成功しているのを聞いて、嫉妬の炎が（）と燃え上がってきた。,めらめら,,漢字の読みを入力してください,Text
巻き寿司の作り方は簡単ですよ。いろんな具材を海苔にのせて、（）と巻くだけです。,くるくる,,漢字の読みを入力してください,Text
（）（しわくちゃ）のシャツはだらしなく見えるからアイロンをかけたほうがいいよ。,しわしわ,,漢字の読みを入力してください,Text
