Question,Answers,Comment,Instructions,Render as
日本は（　）だけれども、四季があるし、この国に生まれたことを日本人はもっと誇りに思っていいんじゃないかな。,粟散辺地,日本は__粟散辺地__だけれども、四季があるし、この国に生まれたことを日本人はもっと誇りに思っていいんじゃないかな。,Type the reading!,Text
こんな（　）に、わざわざ経済大国アメリカから留学しに来てくれるなんてありがたい話だよね。,粟散辺地,こんな__粟散辺地__に、わざわざ経済大国アメリカから留学しに来てくれるなんてありがたい話だよね。,Type the reading!,Text
（　）の国なのに、日本は、世界的には結構有名な国なんですよ。,粟散辺地,__粟散辺地__の国なのに、日本は、世界的には結構有名な国なんですよ。,Type the reading!,Text
（　）の国が、化学や技術の発展で、世界の大国と競い合い肩を並べているんだから、これはすごい話ですよ。,粟散辺地,__粟散辺地__の国が、化学や技術の発展で、世界の大国と競い合い肩を並べているんだから、これはすごい話ですよ。,Type the reading!,Text
（　）という表現がぴったりな小さな国土の日本だけれども、私は日本が大好きです。,粟散辺地,__粟散辺地__という表現がぴったりな小さな国土の日本だけれども、私は日本が大好きです。,Type the reading!,Text
日本は（　）とはいえ、一周するにはそれなりに時間がかかる。,粟散辺土,日本は__粟散辺土__とはいえ、一周するにはそれなりに時間がかかる。,Type the reading!,Text
健太くんは、（　）だけれども日本に生まれてよかったと思った。,粟散辺土,健太くんは、__粟散辺土__だけれども日本に生まれてよかったと思った。,Type the reading!,Text
（　）の半分が揺れるような、大きな地震でした。,粟散辺土,__粟散辺土__の半分が揺れるような、大きな地震でした。,Type the reading!,Text
（　）に住むともこちゃんは、アメリカに住む友人に、あなたの家はウサギ小屋みたいな家ねと言われました。,粟散辺土,__粟散辺土__に住むともこちゃんは、アメリカに住む友人に、あなたの家はウサギ小屋みたいな家ねと言われました。,Type the reading!,Text
（　）である日本より狭い国が、世界には複数存在するんだよ。,粟散辺土,__粟散辺土__である日本より狭い国が、世界には複数存在するんだよ。,Type the reading!,Text
健太くんは、自分が悪いなんて（　）ほどにも思っていないでしょう。,粟粒芥顆,健太くんは、自分が悪いなんて__粟粒芥顆__ほどにも思っていないでしょう。,Type the reading!,Text
ともこちゃんは、その契約に際して、（　）ほどしか納得していなかった。,粟粒芥顆,ともこちゃんは、その契約に際して、__粟粒芥顆__ほどしか納得していなかった。,Type the reading!,Text
